Chemical formula,Radius A [ang],Radius B [ang],Radius O,Tolerance factor,Lowest distortion,a [ang],b [ang],c [ang],Curie Temperature (K)
GaLaO3,0.62,1.03,1.36,0.585803944,rhombohedral,6.404,6.404,6.404,
GaLiO3,0.62,0.76,1.36,0.66041105,cubic,3.524,3.524,3.524,
GaLuO3,0.62,0.86,1.36,0.630662805,cubic,4.243,4.243,4.243,
GaMgO3,0.62,0.72,1.36,0.673111263,cubic,3.795,3.795,3.795,
GaMnO3,0.62,0.62,1.36,0.707106781,cubic,3.745,3.745,3.745,
GaMoO3,0.62,0.61,1.36,0.710696156,cubic,3.934,3.934,3.934,
GaNaO3,0.62,1.02,1.36,0.588265305,orthorhombic,5.574,6.025,7.156,
GaNbO3,0.62,0.64,1.36,0.700035713,tetragonal,3.963,3.963,4.175,
GaNdO3,0.62,0.98,1.36,0.598321123,rhombohedral,6.254,6.254,6.254,
GaNiO3,0.62,0.6,1.36,0.714322157,cubic,3.651,3.651,3.651,
GaNpO3,0.62,0.86,1.36,0.630662805,rhombohedral,6.146,6.146,6.146,
GaOsO3,0.62,0.57,1.36,0.72542561,cubic,3.896,3.896,3.896,
GaPaO3,0.62,0.91,1.36,0.616771554,orthorhombic,6.024,6.07,8.592,
GaPbO3,0.62,0.99,1.36,0.595775075,rhombohedral,6.036,6.036,6.036,
GaPdO3,0.62,0.75,1.36,0.663540961,cubic,3.916,3.916,3.916,
GaPmO3,0.62,0.97,1.36,0.600889024,rhombohedral,6.202,6.202,6.202,
GaPrO3,0.62,0.92,1.36,0.614066415,rhombohedral,6.299,6.299,6.299,
GaPtO3,0.62,0.67,1.36,0.689690358,cubic,3.953,3.953,3.953,
GaPuO3,0.62,0.83,1.36,0.639302021,orthorhombic,5.363,6.069,9.28,
GaRbO3,0.62,1.52,1.36,0.486135912,orthorhombic,5.779,7.022,8.261,
GaReO3,0.62,0.58,1.36,0.721686302,cubic,3.909,3.909,3.909,
GaRhO3,0.62,0.61,1.36,0.710696156,cubic,3.891,3.891,3.891,
GaRuO3,0.62,0.57,1.36,0.72542561,cubic,3.882,3.882,3.882,
GaSbO3,0.62,0.6,1.36,0.714322157,cubic,3.993,3.993,3.993,
GaScO3,0.62,0.75,1.36,0.663540961,cubic,4.022,4.022,4.022,
GaSiO3,0.62,0.4,1.36,0.795495129,cubic,3.546,3.546,3.546,
GaSmO3,0.62,0.96,1.36,0.603479063,rhombohedral,6.069,6.069,6.069,
GaSnO3,0.62,0.69,1.36,0.682961672,cubic,4.018,4.018,4.018,
GaSrO3,0.62,1.18,1.36,0.551209223,orthorhombic,5.305,5.986,9.064,
GaTaO3,0.62,0.64,1.36,0.700035713,tetragonal,3.966,3.966,4.044,
GaTbO3,0.62,0.84,1.36,0.636396103,rhombohedral,5.972,5.972,5.972,
GaTcO3,0.62,0.6,1.36,0.714322157,rhombohedral,5.131,5.131,5.131,
GaTeO3,0.62,0.77,1.36,0.657310529,cubic,4.082,4.082,4.082,
GaThO3,0.62,0.94,1.36,0.608726707,cubic,4.515,4.515,4.515,
GaTiO3,0.62,0.71,1.36,0.676363008,cubic,3.858,3.858,3.858,
GaTlO3,0.62,1.2,1.36,0.546902901,orthorhombic,5.393,5.52,8.475,
GaTmO3,0.62,0.96,1.36,0.603479063,cubic,4.294,4.294,4.294,
GaUO3,0.62,0.76,1.36,0.66041105,tetragonal,4.308,4.332,4.332,
GaVO3,0.62,0.54,1.36,0.736879698,cubic,3.787,3.787,3.787,
GaWO3,0.62,0.62,1.36,0.707106781,cubic,3.939,3.939,3.939,
GaYO3,0.62,0.9,1.36,0.619500631,rhombohedral,5.952,5.952,5.952,
GaYbO3,0.62,0.95,1.36,0.606091527,orthorhombic,5.187,5.641,8.468,
GaZnO3,0.62,0.74,1.36,0.666700679,cubic,3.783,3.783,3.783,
GaZrO3,0.62,0.72,1.36,0.673111263,cubic,4.143,4.143,4.143,
GdAcO3,1.11,1.12,1.36,0.704255544,cubic,4.663,4.663,4.663,
GdAgO3,1.11,0.75,1.36,0.827750592,cubic,4.023,4.023,4.023,
GdAlO3,1.11,0.54,1.36,0.919238816,orthorhombic,5.221,5.333,7.428,
GdAsO3,1.11,0.58,1.36,0.900285438,cubic,4,4,4,
GdAuO3,1.11,0.93,1.36,0.762687227,cubic,4.098,4.098,4.098,
GdBO3,1.11,0.27,1.36,1.071505368,cubic,3.477,3.477,3.477,
GdBaO3,1.11,1.35,1.36,0.644484778,orthorhombic,6.507,6.793,8.517,
GdBeO3,1.11,0.45,1.36,0.964946823,orthorhombic,5.025,5.08,7.111,
GdBiO3,1.11,1.03,1.36,0.730775627,cubic,4.365,4.365,4.365,
GdCaO3,1.11,1,1.36,0.740065148,cubic,4.117,4.117,4.117,
GdCdO3,1.11,0.95,1.36,0.756083874,cubic,4.094,4.094,4.094,
GdCeO3,1.11,1.01,1.36,0.73694251,cubic,4.537,4.537,4.537,
GdCoO3,1.11,0.61,1.36,0.886575507,-,-,-,-,
GdCrO3,1.11,0.62,1.36,0.882097853,orthorhombic,5.307,5.585,7.625,
GdCsO3,1.11,1.67,1.36,0.576420379,tetragonal,3.337,3.337,7.596,
