,Formula,eV
947,EuSnO3,0.061125331
623,EuTcO3,0.019405787
526,EuTiO3,0
767,EuTiO3,0.016930205
616,EuTmO3,0.444103474
711,EuUO3,0.045897233
545,EuVO3,0
903,EuVO3,0.031201605
620,EuWO3,0.140958525
537,EuZrO3,0
546,EuZrO3,0.08252313
930,EuZrO3,0.091714926
609,FeAgO3,0.347914015
606,FeAsO3,0.791272069
515,FeBiO3,0.037027861
555,FeBiO3,3.417958749
779,FeBiO3,0.056959617
785,FeBiO3,0.020254703
819,FeBiO3,0.239207713
821,FeBiO3,0.181992988
823,FeBiO3,0.425395393
830,FeBiO3,0.238667066
856,FeBiO3,0.028253823
859,FeBiO3,0.427904209
743,FeBO3,0
945,FeBO3,0.092263293
737,FeCO3,0.073781247
769,FeGeO3,0
922,FeNiO3,0.080502164
963,FePbO3,0.179858484
615,FeRhO3,1.012277472
964,FeRhO3,1.051832872
685,FeSiO3,0.011923089
734,FeSiO3,0.014378057
762,FeSiO3,0.011743476
858,FeSiO3,0.018043134
541,FeSnO3,0
542,FeSnO3,0.062399211
692,FeSnO3,0.771578727
812,FeSO3,0.063270823
781,GaBiO3,0.225860469
838,GaBiO3,0.001980919
895,GaBiO3,0.049990521
521,GaBO3,0.002734141
589,GaBO3,1.406927282
590,GaFeO3,0.92451169
591,GaFeO3,0.955612842
857,GaFeO3,0.021014953
954,GaFeO3,0.021983736
585,GaGeO3,0.671599757
586,GaNiO3,1.042077022
604,GaSiO3,0.670586794
610,GaSnO3,0.57507069
608,GaTeO3,0.611029202
544,GdAlO3,0.085046632
811,GdAlO3,0.00829557
879,GdAsO3,0.049378223
624,GdBeO3,0.312380454
716,GdBO3,0
793,GdBO3,0.145580496
848,GdBO3,0.071296301
757,GdCoO3,0.178243582
538,GdCrO3,0.235270697
735,GdCrO3,0
625,GdCuO3,0.15702574
627,GdErO3,0.735185324
916,GdErO3,0.004995711
852,GdFeO3,0
736,GdGaO3,0.049004759
698,GdInO3,0
701,GdInO3,0.051276031
905,GdLuO3,0.055724817
809,GdMnO3,0.322411775
807,GdNiO3,0
629,GdRhO3,0.425966517
851,GdScO3,0.011673203
626,GdSiO3,0.60787144
628,GdThO3,0.787523808
808,GdTiO3,0.026218043
900,GdTmO3,0.06776115
813,GdVO3,0
635,GdZrO3,0.399649712
632,GeBiO3,0.39927577
965,GeBO3,1.322055617
510,GePbO3,0.217980089
825,GePbO3,0.013137116
828,GePbO3,0
631,GePdO3,0.624087347
638,GeTeO3,0.680642656
633,HfBeO3,0.766624045
637,HfBO3,1.33698589
508,HfCdO3,0.280297915
697,HfCdO3,0.014742756
875,HfCoO3,0.093956537
904,HfCrO3,0.090281634
877,HfFeO3,0.089519196
878,HfFeO3,0.056849257
505,HfHgO3,0.296361696
502,HfMgO3,0.58955044
886,HfMnO3,0.034400804
543,HfNiO3,0.14473154
639,HfNpO3,0.37119906
773,HfPbO3,0.040235366
777,HfPbO3,0.008471734
860,HfPbO3,0.012027094
899,HfPbO3,0.013783234
935,HfSnO3,0.069154058
634,HfThO3,0.672636598
501,HfZnO3,0.687200543
795,HgAsO3,0
940,HgBiO3,0.034575093
789,HgBrO3,0
796,HgClO3,0.023970349
509,HgGeO3,0.340203064
503,HgIrO3,0.404555165
682,HgNO3,0.219275454
815,HgNO3,0
504,HgOsO3,0.309168681
507,HgRhO3,0.410766954
506,HgRuO3,0.291356945
528,HgSeO3,0.00532904
835,HgSeO3,0
955,HgSeO3,0.002511856
791,HgTeO3,0.014614944
786,HIO3,0.037231269
832,HIO3,0.01822522
717,HNO3,0
803,HoAlO3,0.015694753
636,HoBeO3,0.365119347
539,HoBiO3,0.031481272
883,HoBiO3,0.049291047
929,HoBiO3,0.035464992
630,HoBO3,0.871240449
872,HoBO3,0
873,HoBO3,0.089607221
884,HoBO3,0.026844045
943,HoBO3,0.059311598
946,HoBO3,0.033344282
754,HoCoO3,0.01578647
909,HoCrO3,0
640,HoCuO3,0.250675356
644,HoErO3,0.910047872
926,HoErO3,0.093201033
751,HoFeO3,0
894,HoGaO3,0.049317646
924,HoGaO3,0.019312513
985,HoGeO3,0.681965552
920,HoInO3,0.010193135
938,HoInO3,0.072065479
927,HoLuO3,0.082399802
677,HoMnO3,0.31454225
741,HoMnO3,0
764,HoMnO3,0.028712111
738,HoNiO3,0
647,HoRhO3,0.600679756
695,HoRhO3,0
693,HoSbO3,1.075761129
798,HoScO3,0.036769564
646,HoSiO3,0.757384035
971,HoSnO3,0.868627386
893,HoTiO3,0.059647991
540,HoTmO3,0.095973765
740,HoVO3,0
512,IClO3,0.604369616
648,InAsO3,0.620312994
817,InBiO3,0.495174906
833,InBiO3,0.028765603
844,InBiO3,0.039480206
869,InBO3,0
891,InCoO3,0.104647166
715,InCuO3,0.042256481
976,InCuO3,0.507068223
759,InFeO3,0.032730888
944,InGaO3,0.002237335
554,INO3,0.378546417
887,INO3,0.038539179
645,InOsO3,0.466641634
643,InPtO3,0.765309548
534,InRhO3,0.073924369
688,InRhO3,0.040573461
696,InRhO3,0.33404023
642,InSbO3,0.455910485
641,InSiO3,0.562275213
977,KAgO3,0.319125712
650,KAlO3,0.265019838
651,KAsO3,0.422205645
676,KAsO3,0
679,KAsO3,0.007166876
654,KAuO3,0.353579498
961,KBaO3,0.555103502
960,KBeO3,0.622039133
794,KBiO3,0
864,KBiO3,0.030864946
948,KBiO3,0.009622776
984,KBiO3,0.096101227
780,KBrO3,0
986,KCaO3,0.423390457
663,KCdO3,0.378551609
782,KClO3,0.021245079
822,KClO3,0.033137943
831,KClO3,0.020673628
535,KCO3,0.011467455
536,KCO3,0
799,KCO3,0.085158036
656,KCoO3,0.255965463
519,KCrO3,0.390612039
658,KDyO3,0.249930201
966,KErO3,0.245473528
532,KFeO3,0.146919581
662,KGdO3,0.18125318
998,KHfO3,0.035650544
655,KHoO3,0.24512383
973,KInO3,0.280319156
529,KIO3,0.001070602
553,KIO3,0.007336359
686,KIO3,0
714,KIO3,0.004061806
784,KIO3,0.0133898
824,KIO3,0.003234308
841,KIO3,0.204260058
855,KIrO3,0
652,KLiO3,0.478898346
653,KLuO3,0.22068212
661,KMgO3,0.347772949
657,KMnO3,0.276944694
513,KMoO3,0.114452095
970,KNaO3,0.587716098
956,KNbO3,0
511,KNO3,0.010684176
801,KNO3,0.004618991
810,KNO3,0
861,KNO3,0.062199256
862,KNO3,0.00806538
865,KNO3,0.007464319
866,KNO3,0.000181913
957,KNO3,0.01078102
665,KNpO3,0
664,KOsO3,0.040375264
690,KPaO3,0
649,KPbO3,0.144003624
959,KPdO3,0.151376255
681,KPO3,0.008044715
713,KPO3,0.246772603
730,KPO3,0.012592889
804,KPO3,0
836,KPO3,0.004158654
837,KPO3,0.000944312
863,KPO3,1.531328394
974,KPtO3,0.124544783
949,KPuO3,0
659,KRbO3,0.746874072
962,KReO3,0.028342623
975,KRhO3,0.050198931
968,KRuO3,0.1079294
552,KSbO3,0.836195982
731,KSbO3,0.018395914
733,KSbO3,0.044818609
820,KSbO3,0
854,KSbO3,1.010042255
867,KSbO3,0.871479585
969,KScO3,0.192412257
683,KSiO3,0.148279112
684,KSiO3,0.146213755
